,Country,Population,Income_Group,WHO_Region,Democracy_score,Female_labour_force,Inequality_index,Pop_median_age,Pop_below_pov_line,Life_exp_all,Life_exp_male,Life_exp_female,Maternal_mort,Literacy_rate_adult_female,Literacy_rate_adult_male,Literacy_rate_adult_total,Literacy_rate_youth_female,Literacy_rate_youth_male,Literacy_rate_youth_total,females_primary_school,males_primary_school
46,Cyprus,879723.0,High,EUR,10.0,45.09,,35.0,,80.0,79.0,82.0,10.0,95.08,98.63,96.8,99.82,99.74,99.77,99.0,99.0
47,Czech Republic,10410786.0,High,EUR,10.0,,25.4,39.0,,77.0,73.0,80.0,4.0,,,,,,,94.0,91.0
48,Denmark,5481283.0,High,EUR,10.0,46.76,24.7,40.0,,79.0,76.0,81.0,3.0,,,,,,,96.0,95.0
49,Djibouti,879053.0,Middle,EMR,2.0,39.34,,20.0,,56.0,53.0,58.0,650.0,,,,,,,34.0,42.0
50,Dominica,66515.0,Middle,AMR,,,,,,74.0,72.0,76.0,,,,,,,,79.0,75.0
51,Dominican Republic,10225482.0,Middle,AMR,8.0,,49.9,24.0,2.8,70.0,66.0,74.0,150.0,87.18,86.81,87.0,95.42,93.0,94.22,78.0,76.0
52,Ecuador,13774909.0,Middle,AMR,6.0,42.4,53.55,24.0,,73.0,70.0,76.0,210.0,89.7,92.33,90.98,96.49,96.38,96.44,97.0,96.0
53,Egypt,84474427.0,Middle,EMR,-3.0,,34.41,23.0,3.1,68.0,66.0,70.0,130.0,59.36,83.02,71.41,78.95,90.08,84.93,94.0,98.0
54,El Salvador,6194126.0,Middle,AMR,7.0,40.24,52.36,24.0,19.0,71.0,67.0,75.0,170.0,79.25,82.14,80.64,90.33,86.64,88.46,94.0,94.0
55,Equatorial Guinea,693385.0,High,AFR,-5.0,36.82,,19.0,,46.0,46.0,47.0,680.0,80.46,93.36,86.99,94.94,94.79,94.86,83.0,91.0
56,Eritrea,5223994.0,Low,AFR,-7.0,41.06,,18.0,,63.0,61.0,65.0,450.0,,,,,,,43.0,50.0
57,Estonia,1339459.0,High,EUR,6.0,49.4,36.03,39.0,2.0,73.0,67.0,79.0,25.0,99.76,99.78,99.77,99.81,99.73,99.77,94.0,95.0
58,Ethiopia,84975606.0,Low,AFR,1.0,44.89,29.97,18.0,23.0,56.0,55.0,58.0,720.0,22.8,50.0,35.9,38.5,62.2,49.9,68.0,74.0
59,Fiji,854098.0,Middle,WPR,6.0,38.49,,24.0,,69.0,66.0,72.0,210.0,,,,,,,91.0,91.0
60,Finland,5345826.0,High,EUR,10.0,47.77,26.88,41.0,,79.0,76.0,83.0,7.0,,,,,,,97.0,97.0
61,France,62636580.0,High,EUR,9.0,45.94,32.74,39.0,,81.0,77.0,84.0,8.0,,,,,,,99.0,98.0
62,French Polynesia,,,,,38.29,,,,,,,,,,,,,,,
63,Gabon,1501266.0,Middle,AFR,-4.0,43.32,,22.0,,58.0,56.0,60.0,520.0,79.67,88.49,84.02,95.14,97.34,96.24,88.0,88.0
64,Gambia,1750732.0,Low,AFR,-5.0,,47.36,20.0,,59.0,57.0,61.0,690.0,,,,,,,64.0,59.0
65,Georgia,4219191.0,Middle,EUR,7.0,43.37,40.8,36.0,6.5,70.0,66.0,74.0,66.0,,,,,,,91.0,88.0
66,Germany,82056775.0,High,EUR,10.0,45.17,28.31,42.0,,80.0,77.0,82.0,4.0,,,,,,,98.0,98.0
67,Ghana,24332755.0,Low,AFR,8.0,48.0,40.8,20.0,,57.0,56.0,58.0,560.0,49.79,66.35,57.9,65.49,75.95,70.66,71.0,73.0
